,ADDITIONAL DESCRIPTION
1481,"1. (Individual) 
- (Salaried)
- Total income of Rs. 10 lakh and above
- In the area of Districts of Dhanbad
- First name begin with the alphabet from A to M
-whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

2. (Individual)  
- (Non-Salaried) 
- income is from execution of civil /electrical/ mechanical contracts/sub contracts including all BCCL contractors, labour contractors, service contractors and manpower suppliers
- income is from real estate including builders, estate agents, property developers, real estate brokers and building material suppliers like suppliers of stone chips, sand, iron,brick, cement, marbles, tiles, timber, plywood, bathroom & kitchen fittings
- income is from hospitality services, hotels, lodges & guest houses, caterers, decorators, excise (liquor) contractor, bars, event managers, musical groups, florists, horticulturists, restaurant, banquet halls, health centers, gyms and spas
- income is from the business of plying of taxis, lorries, trucks, buses, minibuses and other commercial road transport vehicles, travel agents, tour operators, two wheeler and automobile agencies, spare part dealers, workshops or servicecenters of automobiles and other transport vehicles and their body makers
- income is from mining sector including mining contractors/sub contractors/ labour contractors, mine operators, mine owners, crushers, sand mining contractors, brick klin business, coal washeries and forest contractors
- Total income of Rs. 10 lakh and above
- In the area of district of Dhanbad
- First name begin with the alphabet from A to M
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

3. Company (including its MD or director or manager or secretary) 
- Total income of Rs. 15 lakh and above
- having registered office or principal place of business in the district of Dhanbad
- First name begin with the alphabet from A to M
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business"
1482,"1. (Individual) 
- (Salaried)
- Total income below Rs. 10 lakh 
- In the area of Districts of Dhanbad
- First name begin with the alphabet A & E
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

2. (Individual)  
- (Non-Salaried) 
- income is from real estate including builders, estate agents, property developers, real estate brokers and building material suppliers like suppliers of stone chips, sand, iron, brick, cement, marbles, tiles, timber, plywood, bathroom & kitchen fittings
- Total income below Rs. 10 lakh 
- having principal place of business or profession is within the territorial area of Districts of Dhanbad
- First name begin with the alphabet A & E
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

3. (Company) 
- Total income below Rs. 15 lakh 
- having its registered office or principal place of business in the Districts of Dhanbad
- First name begin with the alphabet A & E
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business"
1483,"1. (Individual) 
- (Salaried)
- Total income below Rs. 10 lakh
- in the area of Districts of Koderma

2. (Individual)  
- (Non-Salaried) 
- Total income below Rs. 10 lakh
- having principal place of business or profession is within the territorial area of Districts of Koderma

3. (Company) 
- having its registered office or principal place of business in the Districts of Koderma
- Total income below Rs. 15 lakh"
1493,"
1. (Individual) 
- (Salaried)
- Total income below Rs. 10 lakh 
- In the area of Districts of Ranchi and Khunti
- First name begin with the alphabet from A & C
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

2. (Individual)  
- (Non-Salaried) 
- income is from execution of civil /electrical/ mechanical contracts/sub contracts, labour contracts, service contractors and manpower suppliers
- Total income below Rs. 10 lakh 
- having principal place of business or profession is within the territorial area of Districts of Ranchi and Khunti
- First name begin with the alphabet from A & C
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

3. (Company) 
- Total income below Rs. 15 lakh 
- having its registered office or principal place of business in the Districts of Ranchi and Khunti
- First name begin with the alphabet from A & C
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business"
1494,"1. (Individual) 
- (Salaried)
- Total income below Rs. 10 lakh
- in the area of Districts of East Singhbhum & saraikela-Kharsawan
- First name begin with the alphabet A
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

2. (Individual)  
- (Non-Salaried) 
- income is from hospitality services, hotels, lodges & guest houses, caterers, decorators, excise (liquor) contractor, bars, event managers, musical groups, florists, horticulturists, restaurant, banquet halls, health centers, gyms and spas
- Total income below Rs. 10 lakh
- having principal place of business or profession is within the territorial area of Districts of East Singhbhum & saraikela-Kharsawan
- First name begin with the alphabet A
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

3. (Company) 
- having its registered office or principal place of business in the Districts of East Singhbhum & saraikela-Kharsawan
- Total income below Rs. 15 lakh
- First name begin with the alphabet A
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

4.(Salaried)
- income is from salary from TISCO
- Total income of below Rs. 10 lakh
- First name begin with the alphabet from A to E"
1500,"1. (Individual) 
- (Salaried)
- Total income of Rs. 10 lakh and above
- In the area of Districts of East Singhbhum & saraikela-Kharsawan
- First name begin with the alphabet from A to I
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

2. (Individual)  
- (Non-Salaried) 
- income is from execution of civil /electrical/ mechanical contracts/sub contract, labour contracts, service contractors and manpower suppliers
- income is from real estate including builders, estate agents, property developers, real estate brokers and building material suppliers like suppliers of stone chips, sand, iron, brick, cement, marbles, tiles, timber, plywood, bathroom & kitchen fittings
- income is from hospitality services, hotels, lodges & guest houses, caterers, decorators, excise (liquor) contractor, bars, event managers, musical groups, florists, horticulturists, restaurant, banquet halls, health centers, gyms and spas
- income is from the business of plying of taxis, lorries, trucks, buses, minibuses and other commercial road transport vehicles, travel agents, tour operators, two wheeler and automobile agencies, spare part dealers, workshops or service centers of automobiles and other transport vehicles and their body makers
- Total income of Rs. 10 lakh and above
- having principal place of business or profession is within the territorial area of Districts of East Singhbhum & saraikela-Kharsawan
- First name begin with the alphabet from A to I
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

3. (Company) 
- Total income of Rs. 15 lakh and above
- having its registered office or principal place of business in the Districts of East Singhbhum & saraikela-Kharsawan
- First name begin with the alphabet from A to I
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

4.(Salaried)
- salary from TISCO
- Total income of Rs. 10 lakh and above"
1501,"1. (Individual) 
- (Salaried)
- Total income of Rs. 10 lakh and above
- In the area of Districts of Ranchi and Khunti
- First name begin with the alphabet from A to L
-whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

2. (Individual)  
- (Non-Salaried) 
- Income is from execution of civil /electrical/ mechanical contracts/sub contract, labour contracts, service contractors and manpower suppliers
- income is from real estate including builders, estate agents, property developers, real estate brokers and building material suppliers like suppliers of stone chips, sand, iron, brick, cement, marbles, tiles, timber, plywood, bathroom & kitchen fittings
- income is from hospitality services, hotels, lodges & guest houses, caterers, decorators, excise (liquor) contractor, bars, event managers, musical groups, florists, horticulturists, restaurant, banquet halls, health centers, gyms and spas
- income is from the business of plying of taxis, lorries, trucks, buses, minibuses and other commercial road transport vehicles, travel agents, tour operators, two wheeler and automobile agencies, spare part dealers, workshops or service centers of automobiles and other transport vehicles and their body makers
- Total income of Rs. 10 lakh and above
- having principal place of business or profession is within the territorial area of district of Ranchi and Khunti  
- First name begin with the alphabet from A to L
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business

3. Company (including its MD or director or manager or secretary) 
- Total income of Rs. 15 lakh and above
- having registered office or principal place of business in the district of Ranchi and Khunti
- First name begin with the alphabet from A to L
- whose jurisdiction are not specifically assigned to any other Range/Circle/Ward as special trade/business"
1505,"Territorial Areas. in the district of Jamnagar - Municipal Ward No. 14 of Jamnagar Municipal Corporation.
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area mentioned above having income/loss upto Rs. 15 lacs.
(b) Persons other than companies deriving income from business or profession and whose principal place of business or profession is within the territorial area mentioned above having income/loss upto Rs. 15 lacs.
(c) Persons being companies registered under the Companies Act 2013 or under the Companies Act, 1956, and having its registered office or principal place of business in the area mentioned above having income/loss upto Rs. 20 lacs.
(d)  Persons being individuals referred to in item (b) of (II) below.
(e) All non-filers and new assessees of areas under the jurisdiction of Range-1,Jamnagar.
(II.) (a)  All cases of persons referred to in items (a),(b),(c)& (d) of (I) above whose principal source of income is other than from salary.
b)  All cases of individuals being managing director or director or manager or secretary in the companies referred to in item no. (c) of  (I) above."
1506,"Territorial Areas. in the district of Jamnagar
(a)  Municipal Ward Nos. 1, 5 (South of Pandit Nehru Marg), 6, 7, & 8 of Jamnagar Municipal Corporation
(b)    GIDC-II Dared of Jamnagar District. 
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area mentioned in items (a) & (b)  above having income/loss upto Rs. 15 lacs.
(b) Persons other than companies deriving income from business or profession and whose principal place of business or profession is within the territorial area mentioned in items (a) & (b)  above having income/loss upto Rs. 15 lacs.
(c) Persons being companies registered under the Companies Act 2013 or under the Companies Act, 1956, and having its registered office or principal place of business in the area mentioned in items  (a) & (b)  above having income/loss upto Rs. 20 lacs.
(d)  Persons being individuals referred to in item (b) of (II) below.
(II.) (a)  All cases of persons referred to in items (a) & (b) of (I) above whose principal source of income is other than from salary.
b)  All cases of individuals being managing director or director or manager or secretary in the companies referred to in item no. (c) of  (I) above."
1510,"Territorial Areas. in the district of  Rajkot.
 (a) Municipal Ward Nos. 1, 11, 12, 13 & 14 of Rajkot City
(b)Talukas of Revenue District of Rajkot viz.:-(i)   Rajkot. (ii) Kotda Sangani
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area mentioned in items (a) and (b) above having income/loss more than Rs.15 lacs.
(b)Persons other than companies deriving income from business or profession and whose principal place of business or profession within the territorial area mentioned in items (a) and (b) above having income/loss more than Rs.15 lacs.
(c)Persons being companies registered under the Companies Act 2013 or under the Companies Act, 1956, and having its registered office or principal place of business having income/loss more than Rs.20 lacs.
(d)Persons being individuals referred to item (b) of (II) below.
(II.)  (a)  All cases of persons other than those whose principal source of income is from “Salary”.
(b)  All cases of individuals being managing director or director or manager or secretary in the companies in item (c) of (I) above."
1511,"Territorial Areas. in the district of  Rajkot.
 (a) Talukas of Revenue District of Rajkot; viz.:- (i)  Kotda Sangani
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area having income/loss less than Rs.15 lacs.
(b) Persons other than companies deriving income from business or profession and whose principal place of business or profession is within the territorial area having income/loss less than Rs.15 lacs.
(c) Persons being companies registered under the Companies Act 2013 or under the Companies Act, 1956, and having its registered office or principal place of business in the area having income/loss less than Rs.20 lacs.
(d) Persons being individuals referred to in item (b) of (II) below.
(II.)  (a)  All cases of persons other than those whose principal source of income is from “Salary”.
(b)  All cases of individuals being managing director or director or manager or secretary in the companies in item (c) of (I) above."
1513,"Territorial Areas. in the district of Rajkot
(a) Municipal Ward Nos. 2, 6, 7, 8, 10, 15, 16, & 17 of Rajkot City as per R.M.C. Notification of 2005
(b) Talukas of   Revenue District of Rajkot viz.(i) Jasdan, (ii)Dhoraji, (iii) Jamkandorana & (iv) Padadhari.
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area mentioned in items (a) and (b) above having income/loss more than Rs.15 lacs.
(b) Persons other than companies deriving income from business or profession and whose principal place of business or profession is within the territorial area mentioned in items (a) and (b) above having income/loss more than Rs.15 lacs.
(c) Persons being companies registered under the Companies Act 2013 or under the Companies Act, 1956, and having its registered office or principal place of business in the area mentioned in items (a) and (b) above having income/loss more than Rs. 20 lacs.
(d)  Persons being individuals referred to in item (b) of (II) below.
(II.) (a)  All cases of persons referred to in items (a), (b) & (c)  of (I) above other than those whose principal source of income is from “Salary”.
(b) All cases of individuals being managing director or director or manager or secretary in the companies referred to in item no. (d) of  (I) above."
1514,"Territorial Areas. in the district of Rajkot
(a) Municipal Ward No. 10 of Rajkot City as per R.M.C. Notification of 2005.
(b) Whole of Talukas of Revenue District of Rajkot viz. (i) Dhoraji, (ii) Jamkandorana.
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area mentioned in items (a) and (b) above having income/loss less than Rs.15 lacs.
(b) Persons other than companies deriving income from business or profession and whose principal place of business or profession is within the territorial area mentioned in items (a) and (b) above having income/loss less than Rs.15 lacs.
(II.) (a) All cases of persons referred to in items (a) & (b) of (I) above other than those whose principal source of income is from “Salary”. "
1521,"Territorial Areas. in the districts of Jamnagar & Dev Bhumi Dwarka
(a)  Municipal Ward Nos. 1, 5 (South of Pandit Nehru Marg), 6, 7, 8 & 14 of Jamnagar       Municipal Corporation
(b)   GIDC-II Dared of Jamnagar District. 
(c)    Entire District of Dev Bhumi Dwarka 
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area mentioned in items (a),(b),  & (c)  above having income/loss more than Rs. 15 lacs.
(b) Persons other than companies deriving income from business or profession and whose principal place of business or profession is within the territorial area mentioned in items (a),(b),  & (c)  above having income/loss more than Rs. 15 lacs.
(c) Persons being companies registered under the Companies Act 2013 or under the Companies Act, 1956, and having its registered office or principal place of business in the area mentioned in items  (a),(b),  & (c)  above having income/loss more than Rs. 20  lacs.
(d)  Persons being individuals referred to in item (b) of (II) below.
(II.) (a)  All cases of persons referred to  in items (a) (b) and (c) of (I) above.
(b)  All cases of persons referred to  in items (a) (b) and (c) of (I) above whose principal source of income is from salary other than employees of Central Government,State Government, all Banks ( including Co-operative Banks) and PSU’s.
c)  All cases of individuals being managing director or director or manager or secretary in the companies referred to in item no. (c) of  (I) above. "
1522,"Territorial Areas. in the district of Jamnagar
(I.) (a)  Persons being Individuals or HUF deriving income from sources other than income from business or profession and residing within the territorial area mentioned in items (a) & (b) above having income/loss upto Rs. 15 lacs and having their surname with alphabet “M” to “Z”.
(II.) (a)  All cases of persons referred to   in item (a) of (I) above whose principal source of income is from salary other than employees of Central Government,State Government, all Banks ( including Co-operative Banks) and PSU’s."
1523,"Territorial Areas. in the district of Dev Bhumi Dwarka
(I.) (a) Persons other than companies deriving income from sources other than income from business or profession and residing within the territorial area mentioned in items (a) & (b)  above having income/loss upto Rs. 15 lacs.
(b) Persons other than companies deriving income from business or profession and whose principal place of business or profession is within the territorial area mentioned in items (a) & (b)  above having income/loss upto Rs. 15 lacs.
(c) Persons being companies registered under the Companies Act 2013 or under the Companies Act, 1956, and having its registered office or principal place of business in the area mentioned in items  (a) & (b)  above having income/loss upto Rs. 20 lacs.
(d)  Persons being individuals referred to in item (c) of (II) below.
(II.) (a)  All cases of persons referred to in items (a) (b) & (c) of (I) above whose principal source of income is other than from salary.
(b)  All cases of persons referred to in items (a) (b) & (c) of (I) above whose principal source of income is from salary.
c)  All cases of individuals being managing director or director or manager or secretary in the companies referred to in item no. (c) of (I) above."
1537,"In the state of Haryana, in the Revenue district of Faridabad
within the Municipal limit Faridabad and Ballabgarh on the left side of Railway line while coming from Delhi Border to Faridabad up to Right  or North Bank of Gurgaon Canal in the town of Ballabgarh (before Chawla colony and Star wire co)

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above"
1538,"In the state of Haryana, in the Revenue district of Faridabad
Areas of HUDA Sectors 60 to 90, area of villages of the Tehsil of   Faridabad and other areas/sectors on the left side of Railway Line  while coming from Delhi Border to Faridabad up to Right or North Bank of Gurgaon Canal  in  the town  of Ballabgarh (before Chawla    Colony and Star Wire Col.) other than those assessable by the DCIT/ACIT, Circle-1 and ITO Ward-l(1), Ward- 1(2), Ward 1(3) and Ward- 1(5) of Range-l, Faridabad.

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above

4.(Salaried)
- in the district of Faridabad and Palwal
- Employees of private company i.e other than Central Govt., State Govt., Municipal corporation, Public Secors banks and Govt undertakings
- First name starting with alphabet R to Z"
1539,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet A or B or C or D or E or F or G

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet A or B or C or D or E or F or G

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet A or B or C or D or E or F or G"
1540,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet B or C

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet B or C

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet B or C"
1541,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet N or O

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet N or O

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet N or O"
1546,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana"
1547,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana
- First name starting with alphabet O to R

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana
- First name starting with alphabet O to R

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana
- First name starting with alphabet O to R"
1548,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue District of Hisar in the State of Haryana

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue District of Hisar in the State of Haryana

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue District of Hisar in the State of Haryana"
1549,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue District of Hisar in the State of Haryana
- First name starting with alphabet A to G

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue District of Hisar in the State of Haryana
- First name starting with alphabet A to G

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue District of Hisar in the State of Haryana
- First name starting with alphabet A to G"
1550,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue district of Karnal in the state of Haryana
- First name starting with alphabet A to G

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Karnal in the state of Haryana
- First name starting with alphabet A to G

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Karnal in the state of Haryana
- First name starting with alphabet A to G"
1551,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana"
1552,PAN FOR GOVERNMENT DEPT. IN HARYANA
1558,"In the state of Haryana, in the Revenue district of Faridabad
within the Municipal limit Faridabad and Ballabgarh on the left side of Railway line while coming from Delhi Border to Faridabad up to Right  or North Bank of Gurgaon Canal in the town of Ballabgarh (before Chawla colony and Star wire co) and within areas of Sectors 14,16, 16-A, 17 in the town of Faridabad other than those assessable by DCIT/ACIT, Circle-I of Range I, Faridabad

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above

4.(Salaried)
- in the district of Faridabad and Palwal
- Employees of Bhartiya Cutler & Hammer, Eicher, Goodyear, Hyderabad Industries, Star Wire co., Thomson Press and Whirpool Group of companies"
1559,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue District of Panchkula in the State of Haryana

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue District of Panchkula in the State of Haryana

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue District of Panchkula in the State of Haryana"
1561,"In the state of Haryana, in the Revenue district of Faridabad
Areas of HUDA Sector 1 to 12, DLF Industrial area in the town of  Faridabad other than those assessable by the DCIT/ACIT, Circle-1 and Ward-1(1) of Range-l, Faridabad.

1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area mentioned above 

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area mentioned above 

3. (Company) 
- having its registered office or principal place of business is within the territorial area mentioned above

4.(Salaried)
- in the district of Faridabad and Palwal
- Employees of private company i.e other than Central Govt., State Govt., Municipal corporation, Public Secors banks and Govt undertakings
- First name starting with alphabet J to Q"
1562,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of district of Gurgaon & Mewat in the state of Haryana
- First name starting with two alphabet AA, or AB, or AC, or AD, or AE, or AF, or AG, or AH, or AI, or AJ, or AK, or AL, or AM

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with two alphabet AA, or AB, or AC, or AD, or AE, or AF, or AG, or AH, or AI, or AJ, or AK, or AL, or AM

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with two alphabet AA, or AB, or AC, or AD, or AE, or AF, or AG, or AH, or AI, or AJ, or AK, or AL, or AM"
1563,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet D or E or F or G

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet D or E or F or G

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet D or E or F or G"
1564,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet N or O or P or Q or R

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet N or O or P or Q or R

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Gurgaon & Mewat in the state of Haryana
- First name starting with alphabet N or O or P or Q or R"
1570,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana
- First name starting with alphabet H to N

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana
- First name starting with alphabet H to N

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Rohtak and Jhajjar in the state of Haryana
- First name starting with alphabet H to N"
1571,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue district of Karnal in the state of Haryana

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue district of Karnal in the state of Haryana

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue district of Karnal in the state of Haryana"
1578,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue District of Panchkula in the State of Haryana
- First name starting with alphabet A to G

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue District of Panchkula in the State of Haryana
- First name starting with alphabet A to G

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue District of Panchkula in the State of Haryana
- First name starting with alphabet A to G"
1579,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue District of Panchkula in the State of Haryana
- First name starting with alphabet N to R

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue District of Panchkula in the State of Haryana
- First name starting with alphabet N to R

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue District of Panchkula in the State of Haryana
- First name starting with alphabet N to R"
1580,"1.  (Individual) 
- Income from sources other than income from business or profession
- residing within the territorial area of Revenue District of Panchkula in the State of Haryana

2. (Individual) 
- (Non-Salaried) 
- having place of business or profession is within the territorial area of Revenue District of Panchkula in the State of Haryana

3. (Company) 
- having its registered office or principal place of business is within the territorial area of Revenue District of Panchkula in the State of Haryana"
1584,"Revenue district of Rohtak, sonepat, Rewari, Jhajjar, Mahendragarh, Hissar, Sirsa, Fatehabad, Jind and Bhiwani in the state of Haryana

All cases of persons within the area mentioned above claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) & (47) of section 10, section 11 & section 12 of Income Tax act 1961 where income (gross receipt) exceeds Rs. 5 Crores"
1585,"Revenue district of Faridabad, Palwal, Gurgaon and Mewat in the state of Haryana

All cases of persons within the area mentioned above claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) & (47) of section 10, section 11 & section 12 of Income Tax act 1961 where income (gross receipt) exceeds Rs. 5 Crores"
1586,"Revenue district of Panchkula, Ambala, Yamuna nagar, Karnal, Kaithal, Panipat and Kurukshetra in the state of Haryana

All cases of persons within the area mentioned above claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) & (47) of section 10, section 11 & section 12 of Income Tax act 1961 where income (gross receipt) exceeds Rs. 5 Crores"
1587,"1. (Individual) 
- (Salaried)
- residing within the territorial area of [In the State of Meghalaya ] Dists. Of East Khasi Hills, West Khasi Hills, South West Khasi Hills and West Jaintia Hills
- returned income of Rs. 15 lakh and below
- name beginning with alphabet ‘A’ to ‘J’.

2. (Individual) 
-  (Non-Salaried) 
-  having principal place of business or profession is within the  territorial area of [In the State of Meghalaya ] Dists. Of East Khasi Hills, West Khasi Hills, South West Khasi Hills and West Jaintia Hills
- returned income of Rs. 15 lakh and below
- name beginning with alphabet ‘A’ to ‘J’.

3. Company (including its MD or director or manager or secretary) 
- having registered office or principal place of business within the  territorial area of [In the State of Meghalaya ] Dists. Of East Khasi Hills, West Khasi Hills, South West Khasi Hills and West Jaintia Hills
- returned income of Rs. 20 lakh and below
- name beginning with alphabet ‘A’ to ‘J’."
1588,"1. (Individual) 
- (Salaried)
- residing within the territorial area of District of Cachar, Hailakandi, Dima Hasao in the State of Assam and Mizoram full State 
- income or loss of Rs. 10 lakh and below
- name beginning with alphabet ‘A’ to ‘Z’

2. (Individual) 
-  (Non-Salaried) 
-  having principal place of business or profession is within the  territorial area of District of Cachar, Hailakandi, Dima Hasao in the State of Assam and Mizoram full State 
- income or loss of Rs. 10 lakh and below
- name beginning with alphabet ‘A’ to ‘Z’

3. Company (including its MD or director or manager or secretary) 
- having registered office or principal place of business within the  territorial area of District of Cachar, Karimganj, Hailakandi and Dima Hasao In the State of Assam 
- income or loss of Rs. 15 lakh and below
- name beginning with alphabet ‘A’ to ‘Z’"
